Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.815,23.641,0.46,20000,20000,
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.988,23.641,0.46,20000,20000,
3,A3,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.119,23.641,0.46,20000,20000,
4,A4,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.267,27.138,0.212,2000,2000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,26.893,27.138,0.212,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.254,27.138,0.212,2000,2000,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.145,31.232,0.122,200,200,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.318,31.232,0.122,200,200,
10,A10,FALSE,2x10^1,FungiQuant,STANDARD,FAM,NFQ-MGB,36.412,35.991,0.595,20,20,
12,A12,FALSE,2x10^1,FungiQuant,STANDARD,FAM,NFQ-MGB,35.57,35.991,0.595,20,20,
14,B2,FALSE,WH001_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.079,26.207,0.181,4333.199,4042.685,410.85
15,B3,FALSE,WH001_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.334,26.207,0.181,3752.17,4042.685,410.85
16,B4,FALSE,WH002_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.004,31.111,0.111,270.567,254.984,15.948
17,B5,FALSE,WH002_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.226,31.111,0.111,238.694,254.984,15.948
18,B6,FALSE,WH002_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.104,31.111,0.111,255.691,254.984,15.948
19,B7,FALSE,WH003_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,22.889,22.377,0.482,26115.854,35693.844,9329.221
20,B8,FALSE,WH003_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,21.933,22.377,0.482,44752.609,35693.844,9329.221
21,B9,FALSE,WH003_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,22.309,22.377,0.482,36213.07,35693.844,9329.221
22,B10,FALSE,WH004_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.407,30.631,0.234,378.508,335.637,43.736
23,B11,FALSE,WH004_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.874,30.631,0.234,291.084,335.637,43.736
24,B12,FALSE,WH004_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.612,30.631,0.234,337.318,335.637,43.736
25,C1,FALSE,WH005_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.832,27.79,0.063,1614.189,1653.447,58.817
26,C2,FALSE,WH005_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.718,27.79,0.063,1721.072,1653.447,58.817
27,C3,FALSE,WH005_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.82,27.79,0.063,1625.08,1653.447,58.817
28,C4,FALSE,WH007_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.347,29.619,0.308,687.902,595.813,100.354
29,C5,FALSE,WH007_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.558,29.619,0.308,610.683,595.813,100.354
30,C6,FALSE,WH007_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.953,29.619,0.308,488.854,595.813,100.354
32,C8,FALSE,WH008_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.1,29.876,0.317,450.044,514.738,91.491
33,C9,FALSE,WH008_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.651,29.876,0.317,579.432,514.738,91.491
34,C10,FALSE,WH009_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.112,30.128,0.023,447.109,443.054,5.733
35,C11,FALSE,WH009_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.144,30.128,0.023,439,443.054,5.733
37,D1,FALSE,WH011_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.716,28.501,0.303,981.501,1115.488,189.486
39,D3,FALSE,WH011_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.287,28.501,0.303,1249.474,1115.488,189.486
40,D4,FALSE,WH012_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.843,27.991,0.195,1603.955,1481.64,158.314
41,D5,FALSE,WH012_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.918,27.991,0.195,1538.138,1481.64,158.314
42,D6,FALSE,WH012_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.213,27.991,0.195,1302.828,1481.64,158.314
43,D7,FALSE,WH013_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.218,29.307,0.402,739.773,715.09,155.119
44,D8,FALSE,WH013_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.747,29.307,0.402,549.109,715.09,155.119
45,D9,FALSE,WH013_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.958,29.307,0.402,856.387,715.09,155.119
46,D10,FALSE,WH014_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.537,27.871,0.289,1905.992,1593.459,270.666
47,D11,FALSE,WH014_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.036,27.871,0.289,1438.758,1593.459,270.666
