Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,25.699,25.908,0.296,20000,20000,
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,26.118,25.908,0.296,20000,20000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.977,29.042,0.092,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,29.107,29.042,0.092,2000,2000,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,33.269,33.355,0.121,200,200,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,33.441,33.355,0.121,200,200,
10,A10,FALSE,2x10^1,FungiQuant,STANDARD,FAM,NFQ-MGB,38.349,38.347,0.002,20,20,
12,A12,FALSE,2x10^1,FungiQuant,STANDARD,FAM,NFQ-MGB,38.346,38.347,0.002,20,20,
14,B2,FALSE,WH048_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.798,33.959,0.228,194.193,178.325,22.442
15,B3,FALSE,WH048_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.121,33.959,0.228,162.456,178.325,22.442
16,B4,FALSE,WH049_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.418,32.468,0.079,416.63,405.527,17.482
17,B5,FALSE,WH049_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.559,32.468,0.079,385.376,405.527,17.482
18,B6,FALSE,WH049_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.427,32.468,0.079,414.576,405.527,17.482
20,B8,FALSE,WH050_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.809,30.899,0.127,1014.214,966.248,67.834
21,B9,FALSE,WH050_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.989,30.899,0.127,918.282,966.248,67.834
23,B11,FALSE,WH051_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.861,34.335,0.743,107.894,150.396,60.106
24,B12,FALSE,WH051_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.81,34.335,0.743,192.897,150.396,60.106
25,C1,FALSE,WH052_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.17,31.535,0.515,830.667,692.885,194.853
26,C2,FALSE,WH052_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.899,31.535,0.515,555.103,692.885,194.853
28,C4,FALSE,WH053_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.027,27.171,0.136,8215.649,7602.328,576.786
29,C5,FALSE,WH053_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.299,27.171,0.136,7070.812,7602.328,576.786
30,C6,FALSE,WH053_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.187,27.171,0.136,7520.522,7602.328,576.786
31,C7,FALSE,WH054_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.48,31.685,0.178,699.801,626.919,63.28
32,C8,FALSE,WH054_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.774,31.685,0.178,595.012,626.919,63.28
33,C9,FALSE,WH054_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.801,31.685,0.178,585.946,626.919,63.28
34,C10,FALSE,WH055_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.09,31.479,0.551,868.653,716.657,214.955
35,C11,FALSE,WH055_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.868,31.479,0.551,564.66,716.657,214.955
37,D1,FALSE,WH057_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.909,31.985,0.084,552.001,529.605,24.569
38,D2,FALSE,WH057_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.076,31.985,0.084,503.326,529.605,24.569
39,D3,FALSE,WH057_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.971,31.985,0.084,533.49,529.605,24.569
40,D4,FALSE,WH058_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.946,30.144,0.172,1635.449,1470.393,143.224
41,D5,FALSE,WH058_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.231,30.144,0.172,1396.839,1470.393,143.224
42,D6,FALSE,WH058_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.254,30.144,0.172,1378.891,1470.393,143.224
43,D7,FALSE,WH059_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.97,32.358,0.338,533.805,435.881,85.19
44,D8,FALSE,WH059_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.514,32.358,0.338,395.017,435.881,85.19
45,D9,FALSE,WH059_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.59,32.358,0.338,378.821,435.881,85.19
46,D10,FALSE,WH060_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.874,34.085,0.299,186.205,166.785,27.463
47,D11,FALSE,WH060_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.297,34.085,0.299,147.366,166.785,27.463
49,E1,FALSE,WH061_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.861,32.055,0.37,566.95,515.986,98.906
50,E2,FALSE,WH061_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.483,32.055,0.37,401.992,515.986,98.906
51,E3,FALSE,WH061_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.823,32.055,0.37,579.017,515.986,98.906
53,E5,FALSE,WH062_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.432,30.531,0.14,1249.481,1184.667,91.661
54,E6,FALSE,WH062_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.63,30.531,0.14,1119.853,1184.667,91.661
55,E7,FALSE,WH063_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.978,30.253,0.246,1606.069,1388.583,193.492
56,E8,FALSE,WH063_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.453,30.253,0.246,1235.523,1388.583,193.492
57,E9,FALSE,WH063_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.327,30.253,0.246,1324.158,1388.583,193.492
58,E10,FALSE,WH064_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.89,30.757,0.452,970.233,1066.859,277.584
59,E11,FALSE,WH064_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.253,30.757,0.452,1379.842,1066.859,277.584
60,E12,FALSE,WH064_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.128,30.757,0.452,850.501,1066.859,277.584
61,F1,FALSE,WH065_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.416,28.078,0.477,3812.001,4674.344,1219.537
63,F3,FALSE,WH065_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.741,28.078,0.477,5536.687,4674.344,1219.537
65,F5,FALSE,WH066_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.117,28.91,0.293,2585.895,2919.064,471.172
66,F6,FALSE,WH066_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.703,28.91,0.293,3252.233,2919.064,471.172
67,F7,FALSE,WH067_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.441,35.26,0.202,78.247,86.848,9.833
68,F8,FALSE,WH067_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.297,35.26,0.202,84.729,86.848,9.833
69,F9,FALSE,WH067_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.042,35.26,0.202,97.569,86.848,9.833
70,F10,FALSE,WH068_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.157,30.099,0.092,1455.053,1503.778,77.949
71,F11,FALSE,WH068_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.992,30.099,0.092,1593.68,1503.778,77.949
72,F12,FALSE,WH068_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.148,30.099,0.092,1462.6,1503.778,77.949
73,G1,FALSE,WH069_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.419,28.538,0.104,3806.134,3566.243,207.77
74,G2,FALSE,WH069_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.597,28.538,0.104,3449.035,3566.243,207.77
75,G3,FALSE,WH069_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.599,28.538,0.104,3443.56,3566.243,207.77
76,G4,FALSE,WH070_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.706,32.847,0.274,355.357,331.143,47.917
77,G5,FALSE,WH070_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.671,32.847,0.274,362.12,331.143,47.917
78,G6,FALSE,WH070_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.163,32.847,0.274,275.951,331.143,47.917
79,G7,FALSE,WH071_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.15,29.565,0.382,2539.028,2049.28,443.097
80,G8,FALSE,WH071_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.901,29.565,0.382,1676.167,2049.28,443.097
81,G9,FALSE,WH071_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.644,29.565,0.382,1932.645,2049.28,443.097
82,G10,FALSE,WH072_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.803,29.86,0.08,1769.246,1715.424,76.117
83,G11,FALSE,WH072_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.917,29.86,0.08,1661.601,1715.424,76.117
85,H1,FALSE,WH073_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.629,30.971,0.296,1120.795,936.239,159.96
86,H2,FALSE,WH073_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.128,30.971,0.296,850.412,936.239,159.96
87,H3,FALSE,WH073_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.156,30.971,0.296,837.509,936.239,159.96
88,H4,FALSE,WH074_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.49,29.205,0.403,2104.509,2494.913,552.115
89,H5,FALSE,WH074_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.919,29.205,0.403,2885.317,2494.913,552.115
91,H7,FALSE,WH075_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.208,32.147,0.077,467.998,484.28,20.689
92,H8,FALSE,WH075_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.061,32.147,0.077,507.561,484.28,20.689
93,H9,FALSE,WH075_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.172,32.147,0.077,477.281,484.28,20.689
94,H10,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
95,H11,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
96,H12,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
