ID,Home,Campaign,Start_Date,Collection_Date,Group,Type,Sequenced,qPCR_plate,Season
WH006_1,WH006,Campaign 1,04/10/2022,01/11/2022,Group 1,Indoor,Panel 3,PLATE10,Autumn
WH012_1,WH012,Campaign 1,04/10/2022,01/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH003_1,WH003,Campaign 1,19/01/2023,17/02/2023,Group 2,Indoor,Panel 1,PLATE1,Winter
WH018_1,WH018,Campaign 1,03/10/2022,01/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH016_1,WH016,Campaign 1,09/10/2022,06/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH007_1,WH007,Campaign 1,11/10/2022,07/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH009_1,WH009,Campaign 1,03/10/2022,07/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH014_1,WH014,Campaign 1,04/10/2022,07/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH020_1,WH020,Campaign 1,07/10/2022,07/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH004_1,WH004,Campaign 1,11/10/2022,08/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH019_1,WH019,Campaign 1,10/10/2022,08/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH017_1,WH017,Campaign 1,11/10/2022,09/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH005_1,WH005,Campaign 1,12/10/2022,10/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH013_1,WH013,Campaign 1,14/10/2022,11/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH010_1,WH010,Campaign 1,17/10/2022,14/11/2022,Group 1,Indoor,Panel 3,PLATE10,Autumn
WH015_1,WH015,Campaign 1,17/10/2022,14/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
WH001_1,WH001,Campaign 1,18/10/2022,15/11/2022,Group 1,Indoor,Panel 1,PLATE1,Winter
WH008_1,WH008,Campaign 1,18/10/2022,15/11/2022,Group 1,Indoor,Panel 1,PLATE1,Autumn
